python-version,os,tag,arch
3.7.0,ubuntu 22.04,1.0,x86_64
3.7.0,ubuntu 24.04,1.0,x86_64
3.7.1,ubuntu 22.04,1.0,x86_64
3.7.1,ubuntu 24.04,1.0,x86_64
3.7.4,ubuntu 22.04,1.0,x86_64
3.7.4,ubuntu 24.04,1.0,x86_64
3.7.5,ubuntu 22.04,1.0,x86_64
3.7.5,ubuntu 24.04,1.0,x86_64
3.7.6,ubuntu 22.04,1.0,x86_64
3.7.6,ubuntu 24.04,1.0,x86_64
3.7.7,ubuntu 22.04,1.0,x86_64
3.7.7,ubuntu 24.04,1.0,x86_64
3.7.8,ubuntu 22.04,1.0,x86_64
3.7.8,ubuntu 24.04,1.0,x86_64
3.7.9,ubuntu 22.04,1.0,x86_64
3.7.9,ubuntu 24.04,1.0,x86_64
3.7.10,ubuntu 22.04,1.0,x86_64
3.7.10,ubuntu 24.04,1.0,x86_64
3.7.11,ubuntu 22.04,1.0,x86_64
3.7.11,ubuntu 24.04,1.0,x86_64
3.7.12,ubuntu 22.04,1.0,x86_64
3.7.12,ubuntu 24.04,1.0,x86_64
3.7.13,ubuntu 22.04,1.0,x86_64
3.7.13,ubuntu 24.04,1.0,x86_64
3.7.14,ubuntu 22.04,1.0,x86_64
3.7.14,ubuntu 24.04,1.0,x86_64
3.7.15,ubuntu 22.04,1.0,x86_64
3.7.15,ubuntu 24.04,1.0,x86_64
3.7.16,ubuntu 22.04,1.0,x86_64
3.7.16,ubuntu 24.04,1.0,x86_64
3.7.17,ubuntu 22.04,1.0,x86_64
3.7.17,ubuntu 24.04,1.0,x86_64
3.8.0,ubuntu 22.04,1.0,x86_64
3.8.0,ubuntu 24.04,1.0,x86_64
3.8.1,ubuntu 22.04,1.0,x86_64
3.8.1,ubuntu 24.04,1.0,x86_64
3.8.2,ubuntu 22.04,1.0,x86_64
3.8.2,ubuntu 24.04,1.0,x86_64
3.8.3,ubuntu 22.04,1.0,x86_64
3.8.3,ubuntu 24.04,1.0,x86_64
3.8.4,ubuntu 22.04,1.0,x86_64
3.8.4,ubuntu 24.04,1.0,x86_64
3.8.5,ubuntu 22.04,1.0,x86_64
